TITLE,GENRE
The Medicine of the People,Microhistory
In Praise of Paths,Microhistory
A Short History of the World According to Sheep,Microhistory
Walls,Microhistory
Boredom: The Literary History of a State of Mind,Microhistory
Paper: Paging Through History,Microhistory
Time and the Art of Living,Microhistory
Spirals in Time: The Secret Life and Curious Afterlife of Seashells,Microhistory
Amber: The Natural Time Capsule,Microhistory
"The Address Book: What Street Addresses Reveal about Identity, Race, Wealth and Power",Microhistory
"Shady Characters – The Secret Life of Punctuation, Symbols, and Other Typographical Marks",Microhistory
BRILLIANT: The Evolution of Artificial Light,Microhistory
The Book Of Nothing,Microhistory
The Pencil: A History of Design and Circumstance,Microhistory
Camouflage: A History of Concealment and Deception in War,Microhistory
Glass: A World History,Microhistory
Threads of Life: A History of the World Through the Eye of a Needle,Microhistory
THE GUN: The AK-47 and the Evolution of War,Microhistory
The Devil's Cup: A History of the World According to Coffee,Microhistory
The Golden Thread: How Fabric Changed History,Microhistory
Gray Matters: A Biography of Brain Surgery,Microhistory
Inside the Stargazers Palace: The Transformation of Science in 16th-Century Northern Europe,Microhistory
"A Perfect Harmony: Music, Mathematics and Science",Microhistory
White Light: The Essential Element that Changed the World,Microhistory
Who Owns the Moon? In Defence of Humanitys Common Interests in Space,Microhistory
Most Delicious Poison: From Spices to Vices – The Story of Natures Toxins,Microhistory
Mapping the Darkness: The Visionary Scientists Who Unlocked the Mysteries of Sleep,Microhistory
What Are Children For? On Ambivalence and Choice,Microhistory
Black Ops and Beaver Bombing: Adventures with Britain's Wild Mammals,Microhistory
Sleeping Beauties: The Mystery of Dormant Innovations in Nature and Culture,Microhistory
How Not to Kill Yourself: Portrait of a Suicidal Mind,Microhistory
"Life as We Made It: How 50,000 Years of Human Innovation Refined – and Redefined – Nature",Microhistory
"The Longest Story: How Humans Have Loved, Hated and Misunderstood Other Species",Microhistory
"Salmon: A Fish, the Earth, and the History of a Common Fate",Microhistory
By Any Other Name: A Cultural History of the Rose,Microhistory
Footnotes: A Journey Round Britain in the Company of Great Writers,Microhistory
Sounds and Sweet Airs: The Forgotten Women of Classical Music,Microhistory
Young Elizabeth: Princess. Prisoner. Queen.,British History
Beyond The Empire: A Guide To Roman Scotland,British History
A History of Britain in Ten Enemies,British History
Eighteen: A History of Britain in 18 Young Lives,British History
The Old Stones: A Field Guide to the Megalithic Sites of Britain and Ireland,British History
"Rivals in the Storm: How Lloyd George Seized Power, Won the War and Lost his Government",British History
Prehistoric Rock Art in Britain: Sermons in Stone,British History
Born to Rule: The Making and Remaking of the British Elite,British History
Kings and Queens: 1200 Years of English and British Monarchs,British History
Roman Britain: A New History,British History
Hollow Places: An Unusual History of Land and Legend,British History
The British Palaeolithic: Human Societies at the Edge of the Pleistocene World,British History
The Neolithic of Britain and Ireland,British History
"Formative Britain: An Archaeology of Britain, Fifth to Eleventh Century AD",British History
"Crypt: Life, Death and Disease in the Middle Ages and Beyond",British History
Lost Realms: Histories of Britain from the Romans to the Vikings,British History
Forgotten Churches: Exploring England's Hidden Treasures,British History
Women of Power in Anglo-Saxon England,British History
Wild: Tales from Early Medieval Britain,British History
"The Private Lives of the Saints: Power, Passion and Politics in Anglo-Saxon England",British History
Ancestors: A prehistory of Britain in seven burials,British History
Steeple Chasing: Around Britain by Church,British History
The History of the Kings of Britain (Penguin Classics),British History
Mortal Monarchs: 1000 Years of Royal Deaths,British History
Winters in the World: A Journey through the Anglo-Saxon Year,British History
Love and Marriage in the Age of Jane Austen,British History
Overruled: Confronting Our Vanishing Democracy in 8 Cases,British History
